pressure,weather_conditions,wind_speed,humidity,temperature,wind_direction
1028.0,0,0.0,86.0,270.56,0.0
1027.0,0,0.0,69.0,270.68,0.0
1027.0,0,0.0,74.0,270.38,0.0
1027.0,0,0.0,80.0,269.97,0.0
1027.0,0,2.0,86.0,269.49,250.0
1025.0,0,2.0,65.0,275.66,240.0
1025.0,0,0.0,74.0,274.42,0.0
1008.0,0,4.0,52.0,277.89,280.0
1013.0,0,5.0,56.0,279.94,290.0
1021.0,0,3.0,32.0,280.434,198.0
1022.0,0,1.0,74.0,273.0,280.0
1022.0,0,2.0,80.0,272.27,310.0
1022.0,0,1.0,80.0,272.27,320.0
1023.0,0,1.0,74.0,272.03,290.0
1015.0,0,4.0,44.0,277.99,270.0
1014.0,0,4.0,51.0,274.03,240.0
1014.0,0,3.0,59.0,273.49,230.0
1013.0,0,7.0,77.0,270.5,294.0
1013.0,0,7.0,77.0,270.5,294.0
1024.0,0,4.0,47.0,272.2,310.0
1025.0,0,4.0,63.0,271.41,260.0
1016.0,0,0.0,63.0,271.62,0.0
1020.0,0,4.0,40.0,273.07,280.0
1021.0,0,4.0,63.0,270.83,230.0
1021.0,0,3.0,68.0,270.98,230.0
1033.0,0,3.0,59.0,271.842333333,287.0
1033.0,0,3.0,60.0,271.56966666700004,290.0
1018.0,0,7.0,44.0,275.8,250.0
1018.0,0,4.0,55.0,274.32,260.0
1018.0,0,5.0,55.0,274.29,260.0
1019.0,0,3.0,59.0,273.87,240.0
1019.0,0,5.0,55.0,273.6,250.0
1019.0,0,5.0,55.0,273.22,250.0
1020.0,0,4.0,55.0,272.75,260.0
1020.0,0,3.0,55.0,272.42,280.0
1021.0,0,4.0,63.0,272.09,270.0
1022.0,0,3.0,68.0,272.39,250.0
1023.0,0,4.0,55.0,272.47,290.0
1024.0,0,5.0,50.0,272.19,320.0
1025.0,0,1.0,64.0,273.51,260.0
1021.0,0,3.0,69.0,275.98,260.0
1030.0,0,3.0,60.0,274.61,270.0
1030.0,0,2.0,55.0,273.27,270.0
1030.0,0,2.0,69.0,272.42,250.0
1030.0,0,2.0,64.0,271.84,210.0
1030.0,0,2.0,74.0,271.14,210.0
1030.0,0,2.0,74.0,270.6,240.0
1029.0,0,0.0,83.0,269.43,110.0
1030.0,0,2.0,86.0,270.5,225.0
1039.0,0,3.0,64.0,278.72333333299997,277.0
1040.0,0,3.0,64.0,277.834666667,279.0
1034.0,0,1.0,32.0,276.796,138.0
1036.0,0,2.0,42.0,275.957333333,187.0
1032.0,0,1.0,21.0,274.968666667,93.0
1045.0,0,2.0,66.0,275.008666667,315.0
1046.0,0,2.0,64.0,276.315333333,322.0
1045.0,0,2.0,62.0,277.3515,313.0
1047.0,0,2.0,61.0,278.748333333,325.0
1046.0,0,2.0,59.0,279.874666667,322.0
1029.0,0,4.0,56.0,280.37,270.0
1034.0,0,1.0,55.0,277.18,10.0
1033.0,0,3.0,34.0,271.76,260.0
1033.0,0,3.0,21.0,270.405,235.0
1032.0,0,2.0,48.0,269.915,210.0
1032.0,0,3.0,50.0,270.08,200.0
1031.0,0,4.0,50.0,270.8,200.0
1030.0,0,4.0,52.0,270.985,200.0
1030.0,0,3.0,54.0,271.17,200.0
1029.0,0,3.0,58.0,271.28,220.0
1028.0,0,4.0,56.0,271.635,215.0
1026.0,0,6.0,52.0,279.15,220.0
1029.0,0,7.0,52.0,279.7,218.0
1033.0,0,7.0,52.0,280.25,216.0
1031.0,0,4.0,67.0,278.45,209.0
1030.0,0,4.0,68.0,278.73,207.0
1030.0,0,4.0,68.0,278.73,207.0
1019.0,0,2.0,42.0,282.15,220.0
1019.0,0,0.0,48.0,280.15,0.0
1019.0,0,2.0,52.0,279.15,190.0
1018.0,0,2.0,52.0,279.15,200.0
1018.0,0,4.0,56.0,278.73,210.0
1017.0,0,4.0,58.0,278.44,205.0
1011.0,0,4.0,60.0,277.02,210.0
1015.0,0,6.0,23.0,276.77,320.0
1016.0,0,5.0,27.0,275.14,340.0
1017.0,0,6.0,34.0,274.1,320.0
1018.0,0,5.0,37.0,273.29,320.0
1019.0,0,5.0,40.0,272.48,320.0
1012.0,0,2.0,51.0,268.51,330.0
1017.0,0,5.0,46.0,267.65,306.0
1023.0,0,7.0,42.0,266.79,283.0
1023.0,0,7.0,42.0,266.79,283.0
1025.0,0,8.0,48.0,265.55,282.0
1025.0,0,8.0,48.0,265.55,282.0
1025.0,0,8.0,48.0,265.55,282.0
1019.0,0,7.0,41.0,264.94,300.0
1024.0,0,5.0,31.0,264.26,300.0
1024.0,0,5.0,34.0,263.85,300.0
1025.0,0,5.0,34.0,263.52,300.0
1025.0,0,6.0,33.0,263.08,295.0
1025.0,0,4.0,33.0,262.33,310.0
1025.0,0,4.0,36.0,262.17,295.0
1025.0,0,4.0,40.0,262.01,280.0
1026.0,0,5.0,56.0,261.45,280.0
1026.0,0,4.0,53.0,261.965,275.0
1026.0,0,4.0,51.0,262.48,270.0
1027.0,0,6.0,43.0,263.82,280.0
1031.0,0,3.0,29.0,266.595,300.0
1032.0,0,3.0,32.0,266.12,290.0
1032.0,0,3.0,32.0,265.82,300.0
1032.0,0,3.0,33.0,265.47,295.0
1032.0,0,3.0,34.0,265.12,290.0
1035.0,0,3.0,59.0,270.000333333,313.0
1036.0,0,3.0,59.0,269.940666667,314.0
1037.0,0,2.0,59.0,268.2445,317.0
1037.0,0,3.0,58.0,268.730333333,317.0
1038.0,0,3.0,58.0,267.579666667,319.0
1039.0,0,3.0,59.0,266.8915,323.0
1040.0,0,2.0,58.0,265.58666666700003,325.0
1041.0,0,2.0,59.0,264.744333333,328.0
1042.0,0,2.0,62.0,263.94,327.0
1043.0,0,2.0,62.0,263.085,331.0
1043.0,0,2.0,64.0,262.268,331.0
1026.0,0,4.0,45.0,267.86,320.0
1027.0,0,4.0,45.0,267.07,330.0
1028.0,0,2.0,45.0,266.35,330.0
1029.0,0,2.0,49.0,265.28,330.0
1031.0,0,2.0,92.0,276.501,259.0
1031.0,0,2.0,91.0,275.944,258.0
1032.0,0,1.0,94.0,278.0745,269.0
1032.0,0,1.0,92.0,276.621666667,264.0
1033.0,0,1.0,94.0,277.856333333,271.0
1032.0,0,1.0,88.0,280.5505,208.0
1033.0,0,0.0,92.0,281.298666667,238.0
1032.0,0,1.0,89.0,283.506333333,198.0
1032.0,0,1.0,91.0,282.2025,220.0
1032.0,0,1.0,86.0,285.580666667,160.0
993.0,0,1.0,68.0,279.18,296.0
1001.0,0,10.0,38.0,278.44,290.0
1012.0,0,6.0,39.0,271.14,260.0
1016.0,0,2.0,57.0,270.435,246.0
1024.0,0,7.0,32.0,268.6,290.0
1025.0,0,8.0,35.0,268.13,280.0
1026.0,0,5.0,38.0,267.77,300.0
1026.0,0,4.0,38.0,267.43,280.0
1027.0,0,6.0,41.0,267.11,280.0
1027.0,0,5.0,44.0,266.62,280.0
1027.0,0,4.0,44.0,266.38,280.0
1028.0,0,5.0,44.0,266.71,280.0
1027.0,0,3.0,48.0,266.48,270.0
1026.0,0,1.0,62.0,266.15,270.0
1014.0,0,5.0,45.0,268.05,290.0
1015.0,0,6.0,49.0,267.71,290.0
1016.0,0,4.0,49.0,267.43,290.0
1017.0,0,3.0,53.0,267.15,260.0
1026.0,0,2.0,47.0,273.01,290.0
1026.0,0,3.0,51.0,272.07,300.0
1027.0,0,2.0,51.0,271.54,320.0
1028.0,0,3.0,51.0,270.79,300.0
1029.0,0,1.0,46.0,269.28,30.0
1029.0,0,2.0,50.0,268.935,40.0
1029.0,0,2.0,54.0,268.59,50.0
1023.0,0,9.0,47.0,272.915,315.0
1024.0,0,7.0,47.0,272.25,310.0
1026.0,0,5.0,23.0,270.975,305.0
1027.0,0,4.0,46.0,270.4,300.0
1027.0,0,5.0,50.0,269.9,320.0
1027.0,0,6.0,49.0,269.325,330.0
1028.0,0,7.0,49.0,268.75,340.0
1029.0,0,5.0,49.0,268.26,340.0
1029.0,0,5.0,49.0,267.75,340.0
1030.0,0,5.0,49.0,267.24,340.0
1030.0,0,3.0,53.0,267.08,340.0
1030.0,0,3.0,55.0,266.735,340.0
1030.0,0,2.0,57.0,266.39,340.0
1031.0,0,1.0,57.0,266.44,330.0
1008.0,0,3.0,81.0,277.98,290.0
1009.0,0,1.0,75.0,277.68,280.0
1009.0,0,3.0,69.0,277.28,270.0
1010.0,0,4.0,64.0,277.29,250.0
1010.0,0,4.0,58.0,277.505,265.0
1014.0,0,6.0,48.0,280.02,280.0
1013.0,0,6.0,48.0,280.02,285.0
1013.0,0,6.0,48.0,280.02,290.0
1012.0,0,4.0,52.0,278.98,310.0
1014.0,0,6.0,45.0,277.94,310.0
1016.0,0,3.0,48.0,276.78,300.0
1016.0,0,3.0,60.0,275.52,190.0
1017.0,0,3.0,64.0,274.53,230.0
1017.0,0,2.0,69.0,274.19,210.0
1017.0,0,2.0,74.0,273.35,190.0
1017.0,0,3.0,80.0,273.0,220.0
1017.0,0,3.0,61.0,283.06,240.0
1016.0,0,2.0,61.0,284.67,200.0
1022.0,0,6.0,44.0,266.27,305.0
1023.0,0,6.0,44.0,266.18,310.0
1024.0,0,6.0,44.0,266.02,290.0
1025.0,0,4.0,44.0,266.38,290.0
1026.0,0,5.0,48.0,267.22,290.0
